MCAS,isSTEM
32,1
21,0
52,0
34,0
-999,0
44,0
39,0
49,0
28,0
30,0
48,0
50,1
53,1
29,0
-999,0
43,0
16,1
16,1
30,0
50,1
51,0
11,0
37,0
28,0
50,0
16,0
-999,0
40,0
20,0
28,0
11,0
42,0
29,0
34,0
12,0
11,0
-999,0
52,1
42,1
42,1
15,0
36,0
47,0
40,0
-999,0
32,0
17,0
43,0
-999,0
49,0
47,0
41,0
29,0
39,0
22,0
19,0
27,0
37,0
13,0
44,1
44,1
39,1
39,1
51,1
51,1
35,0
22,0
33,0
33,0
20,0
17,0
26,1
26,1
34,0
43,1
43,1
45,0
22,1
-999,0
35,0
-999,0
35,1
35,1
-999,0
-999,0
-999,0
26,0
17,1
26,0
39,0
31,0
32,0
30,0
-999,0
15,0
14,0
-999,0
41,0
-999,0
43,1
49,0
24,0
-999,0
49,1
49,1
17,0
21,0
43,0
-999,0
25,0
41,0
11,0
31,0
12,0
53,0
33,1
45,0
15,0
-999,1
-999,1
34,1
-999,1
-999,1
31,0
43,0
-999,0
-999,0
-999,0
14,0
28,0
15,1
11,0
50,0
7,0
13,0
43,1
-999,0
32,0
28,0
39,1
39,1
27,0
46,1
21,0
-999,0
38,0
22,0
6,0
17,0
49,0
37,0
50,1
50,1
18,0
35,1
-999,0
-999,0
-999,0
54,0
31,0
23,0
25,1
33,1
45,0
30,0
26,0
-999,0
13,0
22,0
25,1
51,1
12,0
45,0
23,0
47,1
45,1
7,1
44,1
40,1
40,1
42,1
29,0
52,0
50,0
38,0
38,1
38,1
-999,0
20,1
16,0
-999,0
-999,1
-999,1
34,1
30,0
39,0
42,0
40,0
-999,1
34,0
37,0
-999,1
-999,0
47,0
33,1
48,1
-999,0
36,0
31,1
31,1
-999,0
43,1
-999,1
24,0
22,0
29,0
18,0
38,0
48,0
15,0
22,0
15,1
15,1
14,0
38,0
27,1
31,0
15,1
27,0
30,0
38,0
22,0
49,0
22,1
27,0
7,0
11,0
46,0
23,0
-999,1
-999,0
-999,0
43,0
26,0
-999,0
53,0
13,0
-999,0
36,0
4,1
29,0
38,0
47,1
47,1
52,1
52,1
39,1
31,0
19,1
35,1
35,1
46,1
46,1
19,0
44,0
37,1
-999,1
21,0
42,0
36,0
42,0
39,0
39,0
14,0
54,1
54,1
24,0
35,1
20,1
36,1
36,1
44,0
40,0
-999,1
39,0
41,0
41,1
49,0
33,1
33,1
27,0
38,1
11,0
49,0
15,0
30,1
20,0
-999,0
-999,0
41,0
-999,0
52,0
49,1
49,1
51,0
48,0
25,0
33,1
33,1
35,0
35,0
44,0
40,1
-999,0
-999,0
-999,0
10,0
-999,0
27,0
33,0
52,1
35,0
27,0
53,1
51,0
39,0
49,0
41,0
32,1
32,1
41,1
-999,1
-999,1
-999,1
-999,0
12,0
11,0
31,1
39,0
-999,1
-999,1
15,0
34,0
44,1
44,1
24,1
45,0
-999,0
22,0
-999,0
54,1
54,1
39,0
19,0
27,0
10,0
-999,0
51,0
47,0
20,1
20,1
47,0
34,0
33,0
21,0
-999,0
12,1
28,0
31,0
43,0
45,1
45,1
32,0
11,0
27,0
22,0
41,0
-999,0
52,0
34,1
34,1
-999,0
-999,0
28,0
42,0
15,0
45,0
29,0
42,0
-999,0
45,1
38,0
12,0
53,0
11,0
25,0
12,1
23,0
42,0
49,0
26,0
36,1
16,0
48,1
48,1
49,0
29,1
11,1
27,0
42,0
52,0
40,0
43,0
50,0
21,0
52,1
52,1
36,0
12,0
-999,1
-999,1
41,0
-999,0
36,0
-999,0
40,0
21,0
49,0
35,0
47,1
42,1
42,1
-999,1
-999,1
-999,0
29,0
-999,0
23,0
28,0
-999,0
50,0
25,0
20,0
17,0
46,1
46,1
19,0
53,0
15,0
-999,0
46,0
21,0
18,0
37,0
51,1
19,0
35,0
41,0
28,1
28,0
28,1
40,1
40,1
8,0
8,0
-999,0
30,0
48,1
23,0
-999,0
40,0
20,0
-999,1
34,1
34,1
19,0
23,0
12,0
50,0
39,0
19,0
8,0
48,0
50,0
14,0
38,0
11,0
-999,0
20,0
35,0
15,0
11,0
